,train_acc,train_loss,train_miou,train_class_acc,val_acc,val_loss,val_miou,val_class_acc
0,0.6200794156980117,0.21546082799633345,0.49852456565646397,[0.62007942 0.96160321],0.6283335481348169,0.21271186371644338,0.5302607541263936,[0.62833355 0.96627208]
1,0.6646112713608051,0.17805997143189112,0.5489031288643724,[0.66461127 0.96787704],0.6920235245880743,0.18998460173606874,0.5746866795767714,[0.69202352 0.96262521]
2,0.7025288567201955,0.15972393356263637,0.5899410547885003,[0.70252886 0.97046122],0.6575080979304965,0.18293482065200806,0.570859823200897,[0.6575081  0.97214603]
3,0.7293468992754829,0.14757903811832268,0.6180940983690774,[0.7293469  0.97212961],0.6195993034994234,0.18187638521194457,0.563097198423025,[0.6195993  0.98175776]
4,0.7514927412821806,0.13781280808150767,0.6409397976300983,[0.75149274 0.97314484],0.7514704103631275,0.16790053149064382,0.6257113702340996,[0.75147041 0.96315754]
5,0.7741466642213253,0.12871517397463322,0.6632771357462651,[0.77414666 0.97396494],0.6809284394823172,0.17444444000720977,0.601475443323714,[0.68092844 0.97613043]
6,0.7917066849059182,0.11977560463051001,0.6839359694955103,[0.79170668 0.97538166],0.7667422069153023,0.1638977845509847,0.636466073701652,[0.76674221 0.96269055]
7,0.8110680811262245,0.11121482543647289,0.705013836020286,[0.81106808 0.97645275],0.7470613138400405,0.16062035063902538,0.6367011758271636,[0.74706131 0.96879068]
8,0.8262062069033819,0.10321298579374949,0.7243759824290545,[0.82620621 0.97793488],0.7064754165387043,0.17082017064094543,0.6209871838224933,[0.70647542 0.97510442]
9,0.8384241947650752,0.09711242221295834,0.7389656306859202,[0.83842419 0.97896319],0.7327000833641579,0.16585499048233032,0.6356764627397474,[0.73270008 0.97210989]
10,0.8565765613506725,0.08690927388767401,0.764015031527789,[0.85657656 0.98103206],0.742226076725084,0.16571661233901977,0.6447053775907341,[0.74222608 0.97248969]
11,0.8661219773872048,0.08193642754107713,0.7769575395199532,[0.86612198 0.98197701],0.7597651645405523,0.16677127877871195,0.6530349284322374,[0.75976516 0.97031953]
12,0.8716093640601114,0.07899633904298146,0.7845623167090685,[0.87160936 0.9825678 ],0.753176267087136,0.168753153582414,0.6503616304431581,[0.75317627 0.97102058]
13,0.8758765427949934,0.07646244081358115,0.7907694326234055,[0.87587654 0.98308982],0.7587108860184808,0.1700719763835271,0.651977455487899,[0.75871089 0.97026176]
14,0.8803466792141821,0.07403487740705411,0.7968669385038031,[0.88034668 0.98356248],0.7553395834277407,0.17349060674508412,0.6502452749640283,[0.75533958 0.9705344 ]
15,0.884534644120475,0.0716250824679931,0.8028862433338585,[0.88453464 0.98404803],0.7590638677247296,0.17468089560667674,0.6525974251666121,[0.75906387 0.97088284]
16,0.8892925403797646,0.06915059924125672,0.8092718908243347,[0.88929254 0.98448344],0.7547270942451955,0.1795805960893631,0.6512541089009569,[0.75472709 0.97143533]
17,0.893723768527492,0.06670562978833913,0.815505516512679,[0.89372377 0.98493548],0.7504574589628241,0.18405542373657227,0.6490538610043761,[0.75045746 0.97150388]
18,0.8978133743691541,0.0643055489162604,0.8212353228543525,[0.89781337 0.98537643],0.7556222917593962,0.18717233041922252,0.6500889600552701,[0.75562229 0.97038463]
19,0.901916545944387,0.06197816656281551,0.826965331456044,[0.90191655 0.98577884],0.750974248482954,0.19328296184539795,0.6468900092753486,[0.75097425 0.97067978]
20,0.9068017597118899,0.059157918691635135,0.8341935188265585,[0.90680176 0.98634078],0.7598186207093914,0.19487230281035106,0.6499490672235093,[0.75981862 0.96916065]
21,0.9082479641374268,0.058391300601263844,0.8359754808316042,[0.90824796 0.98644735],0.7554364334073475,0.1963894267876943,0.647794546922046,[0.75543643 0.96979477]
22,0.9092239622000968,0.05790921920289596,0.8372748541657155,[0.90922396 0.98653849],0.7573703945032418,0.19844774305820465,0.6484215301404419,[0.75737039 0.96946765]
23,0.9101189645542364,0.05749999431272348,0.8385785524211528,[0.91011896 0.98661403],0.7587773861450221,0.19986124138037364,0.6480580435674196,[0.75877739 0.96935167]
24,0.9106979865474858,0.05712359676758448,0.8393404626834445,[0.91069799 0.98667713],0.757372781669719,0.20064806342124938,0.6476588595297365,[0.75737278 0.9693301 ]
25,0.9114686663940815,0.056754392981529234,0.8403334470615403,[0.91146867 0.98671748],0.7543319285284773,0.20313089489936828,0.6468644144276018,[0.75433193 0.96985922]
