,train_acc,train_loss,train_miou,train_class_acc,val_acc,val_loss,val_miou,val_class_acc
41,0.9553891966721835,0.029606179396311442,0.9109166804832749,[0.9553892 0.9923679],0.8306010274881839,0.18585956692695618,0.732700008953968,[0.83060103 0.97558875]
42,0.9561672789764142,0.029131968890627226,0.9121809615497742,[0.95616728 0.99247433],0.8221872531842334,0.1842098335425059,0.7304455137906707,[0.82218725 0.97738812]
43,0.9568112360016553,0.02863427335396409,0.9135687950591985,[0.95681124 0.99260644],0.8215745430979804,0.19006860156853994,0.7305754831382294,[0.82157454 0.97728612]
44,0.9577690193963101,0.02803435203929742,0.9153095750209195,[0.95776902 0.99275986],0.8338712764494375,0.18981661995251972,0.7351086986895266,[0.83387128 0.97535158]
45,0.958507412757542,0.027592612809191147,0.9166904720201989,[0.95850741 0.99286853],0.8285871366516567,0.18880429814259211,0.7331800144314112,[0.82858714 0.97641131]
46,0.9590700054003484,0.027264688468227785,0.917656041954595,[0.95907001 0.99295037],0.8084432490100693,0.1989756241440773,0.7254662558858439,[0.80844325 0.97917392]
47,0.9593083542456257,0.02703942498813073,0.9182043044132534,[0.95930835 0.99301572],0.8255310613853059,0.19749204715092977,0.7301555135479487,[0.82553106 0.97630807]
48,0.959983518854306,0.026578466749439637,0.9194891008377728,[0.95998352 0.99312517],0.8127633219447095,0.20220939815044403,0.7271588872542927,[0.81276332 0.97860873]
49,0.9608092178052898,0.026073939595371486,0.9210769508833235,[0.96080922 0.99325318],0.8175852400640647,0.19779107570648194,0.7294913796067815,[0.81758524 0.97788002]
50,0.9657312281489662,0.023288875327756007,0.9300240337811666,[0.96573123 0.99400658],0.8228304902241774,0.20778189500172933,0.7324689195546438,[0.82283049 0.9775835 ]
51,0.9687468121077285,0.021485149214665097,0.9357399662370413,[0.96874681 0.99448731],0.8242256588155905,0.21697216828664143,0.7328682028987176,[0.82422566 0.97741327]
52,0.9703750152019798,0.020513607189059258,0.938751344763685,[0.97037502 0.99474577],0.8182483867073933,0.23086787462234498,0.730766990149381,[0.81824839 0.97813885]
53,0.9715051144499912,0.01983005369702975,0.9410230961961265,[0.97150511 0.99494456],0.8199826960014177,0.23876880606015524,0.7325088907387545,[0.8199827  0.97809147]
54,0.9724364754058068,0.019300567206616204,0.9428266098622701,[0.97243648 0.99509681],0.8188842501904173,0.24726735452810925,0.7308489053155777,[0.81888425 0.97803046]
55,0.9731253615835997,0.018874777620658277,0.9441771184006278,[0.97312536 0.99521937],0.8204476436234643,0.2555321474870046,0.7311951605968995,[0.82044764 0.97785957]
56,0.9737183862737496,0.018512398876870673,0.9453514458346433,[0.97371839 0.99532299],0.819367790638117,0.2627410640319188,0.7310401154708945,[0.81936779 0.97799049]
57,0.9742478355283088,0.018191616448263326,0.9464053030984201,[0.97424784 0.99541258],0.8176540295383582,0.2710143009821574,0.7297182092699025,[0.81765403 0.97811119]
58,0.974727615857964,0.017897676844149828,0.9473871973056127,[0.97472762 0.99549585],0.8171048707831078,0.2780574103196462,0.7295679766612372,[0.81710487 0.97809238]
59,0.9751323819947715,0.01762583280603091,0.9481784749017907,[0.97513238 0.99556647],0.8172881872973005,0.28522791067759196,0.7298051765462839,[0.81728819 0.97807131]
60,0.9755150954798516,0.017366961476703486,0.9489712658440709,[0.9755151  0.99563786],0.8153571584635131,0.2929190715154012,0.7282674628545008,[0.81535716 0.97820786]
61,0.9758862338114991,0.01712325621396303,0.949740202067601,[0.97588623 0.99570419],0.8179191189083563,0.29902841448783873,0.7301347434698103,[0.81791912 0.9779579 ]
62,0.9762055323015593,0.016896652318537236,0.9503674335524293,[0.97620553 0.99575888],0.8165749668743001,0.3068070481220881,0.7288597419002462,[0.81657497 0.97823877]
63,0.9764271903897008,0.016687567724535862,0.9508747620457454,[0.97642719 0.99581489],0.8162295747168282,0.31358007788658143,0.7286095634615106,[0.81622957 0.97807163]
64,0.9766797865349888,0.016502652773633598,0.9514140062782553,[0.97667979 0.99586413],0.8151428823782269,0.32046263019243876,0.727954587416571,[0.81514288 0.97809252]
65,0.9769487242362527,0.016337698576971888,0.9519489940558369,[0.97694872 0.99590314],0.8143195782436182,0.3261643926302592,0.7276485297754927,[0.81431958 0.97819408]
66,0.9771235869814603,0.016183955588688452,0.9523462124123605,[0.97712359 0.99594282],0.8143551444579776,0.3311201343933741,0.7266080171645861,[0.81435514 0.97805   ]
67,0.9773215430639677,0.01603176895218591,0.9527673792764847,[0.97732154 0.99598102],0.8138003992893798,0.3368955969810486,0.7264482724708564,[0.8138004  0.97800334]
68,0.9775542964700412,0.015871716473872463,0.9532393826122918,[0.9775543  0.99602344],0.8125469408215129,0.3416554868221283,0.7261537805816141,[0.81254694 0.97822469]
69,0.9777755782787565,0.015710994886855286,0.9537015889624534,[0.97777558 0.99606462],0.8139188378695903,0.3468978484471639,0.726761978782871,[0.81391884 0.97805498]
70,0.9779818797011703,0.015562073752904932,0.9541104712853685,[0.97798188 0.99610352],0.8142933134866147,0.35176883240540824,0.7260162835914985,[0.81429331 0.97796312]
71,0.9781768755032522,0.015424767667427659,0.9545037284522653,[0.97817688 0.99613793],0.8127061514496513,0.3568279018004735,0.7254916998374582,[0.81270615 0.97811219]
72,0.9783734126856022,0.015293900469938913,0.9549099931821599,[0.97837341 0.99617165],0.8104088853423035,0.3633062193791072,0.7244968479444369,[0.81040889 0.97826326]
73,0.9785551320242842,0.015167246917262673,0.955292969157919,[0.97855513 0.99620432],0.8100655791178136,0.36764862736066184,0.7240489312525427,[0.81006558 0.97842178]
74,0.9787346131368921,0.015045532966032624,0.9556754507919906,[0.97873461 0.99623845],0.8112638104833649,0.37266151706377665,0.7241574576028085,[0.81126381 0.97817484]
75,0.9788664577877002,0.01494293604666988,0.9559529490112781,[0.97886646 0.99626275],0.8112171244742501,0.376045956214269,0.7244691890554524,[0.81121712 0.97810516]
76,0.9789960456298314,0.014843128696084023,0.9562298526257321,[0.97899605 0.99628815],0.8114860338692708,0.38098870317141215,0.7247997095040752,[0.81148603 0.97825797]
77,0.9791233275373425,0.01473123607536157,0.9564784853316805,[0.97912333 0.9963172 ],0.8101769589660003,0.3864857574303945,0.7230713489806759,[0.81017696 0.97824231]
78,0.9793062429179639,0.014638659432530404,0.9568630710375408,[0.97930624 0.99634144],0.8086725137894735,0.39034859935442606,0.7227069816196252,[0.80867251 0.97832231]
