,train_acc,train_loss,train_miou,train_class_acc,val_acc,val_loss,val_miou,val_class_acc
0,0.6939584936414955,0.37869816859563193,0.5899977974211327,[0.69395849 0.97233939],0.6954228250571252,0.3783399860064189,0.612771566311855,[0.69542283 0.97556366]
1,0.7475958061511688,0.36682024439175925,0.6441632315557865,[0.74759581 0.97513299],0.7109777685614183,0.3724639376004537,0.639126348106657,[0.71097777 0.97947642]
2,0.7785161291124496,0.361365424990654,0.6770480980501553,[0.77851613 0.97666666],0.7746974888546739,0.36998379429181416,0.668220113646509,[0.77469749 0.97092432]
3,0.7975298795806257,0.3578321995337804,0.6987003582609916,[0.79752988 0.97797852],0.7672916552730703,0.36876631776491803,0.6707549702094286,[0.76729166 0.97380448]
4,0.8143584903220047,0.35440441568692527,0.7191476464565553,[0.81435849 0.97928148],0.7700249433023126,0.36571351091066995,0.6842785998842403,[0.77002494 0.97714   ]
5,0.8270958534263917,0.35215600113073986,0.7332455742010782,[0.82709585 0.98009819],0.858034262587373,0.36534156600634254,0.7076409540403296,[0.85803426 0.96113015]
6,0.8344533189568448,0.3508934509754181,0.7420920946548599,[0.83445332 0.98046794],0.7636328885593046,0.3619467238585154,0.6978973857847066,[0.76363289 0.98294824]
7,0.8460758230480804,0.3483853242794673,0.7570627558243455,[0.84607582 0.98159397],0.837212896383719,0.3612621823946635,0.7189438662642224,[0.8372129  0.97009274]
8,0.8538679310678045,0.34725720415512723,0.7646243693421754,[0.85386793 0.98173154],0.7373049511800828,0.3636232833067576,0.6845981527360129,[0.73730495 0.98608974]
9,0.8632649176498371,0.34522509028514226,0.777616799600848,[0.86326492 0.98271411],0.8680883472106454,0.3575802524884542,0.741667572713092,[0.86808835 0.96912453]
10,0.8713058815284727,0.3436605872710546,0.7876135387396199,[0.87130588 0.98332407],0.8184642914380437,0.3574118177096049,0.7333767875047355,[0.81846429 0.97866254]
11,0.8804757853559774,0.34167505860328673,0.8002091939677696,[0.88047579 0.98425576],0.8044668869489626,0.35597978830337523,0.73627695908771,[0.80446689 0.98318227]
12,0.8791742969398805,0.3421105364958445,0.79745747572102,[0.8791743  0.98387165],0.8469018234497432,0.3530539850393931,0.7582402296762216,[0.84690182 0.97882571]
13,0.8825395914221826,0.3413487262527148,0.8024250592402296,[0.88253959 0.98436891],0.8165830531597404,0.35368680755297344,0.7486461961241877,[0.81658305 0.9833748 ]
14,0.8873462576792639,0.34043116480112073,0.808546512488892,[0.88734626 0.98465076],0.8298744403503325,0.3527766664822896,0.7568799513642475,[0.82987444 0.98243925]
15,0.8906200127661216,0.33969339142243066,0.8132836504186087,[0.89062001 0.985027  ],0.8245212274468486,0.3561297039190928,0.7390961216817408,[0.82452123 0.97901954]
16,0.8871416820828139,0.3404123419523239,0.8085016686417775,[0.88714168 0.98472267],0.8423938081019601,0.35052804549535116,0.76984528143248,[0.84239381 0.98276873]
17,0.9018738264230357,0.3371844150622686,0.8292849587295181,[0.90187383 0.98624723],0.8290552395027794,0.3505054275194804,0.7676905256718,[0.82905524 0.98533237]
18,0.9068922506675705,0.33602737009525296,0.8368921891109605,[0.90689225 0.98688533],0.8768612973088071,0.3475647350152334,0.790392868630507,[0.8768613  0.97997612]
19,0.9043595233789311,0.3367371052503586,0.8327180467212354,[0.90435952 0.98649268],0.8571349310471661,0.35166526039441426,0.7676835410414492,[0.85713493 0.97881307]
20,0.9059866138817823,0.3365030131737391,0.834118738667534,[0.90598661 0.98646954],0.8627221448329662,0.34728410641352336,0.7883085062759163,[0.86272214 0.98283593]
21,0.9160479977480595,0.33412215958038965,0.8498332375596149,[0.916048   0.98779075],0.8564286659119549,0.34676893750826515,0.7910868102938644,[0.85642867 0.98487607]
22,0.9161763301278288,0.33404128164052965,0.8503647264375596,[0.91617633 0.9878535 ],0.8789778450946032,0.3478398819764455,0.7891106365429387,[0.87897785 0.97934456]
23,0.9125478233086196,0.33494985083738965,0.84452079204976,[0.91254782 0.98732409],0.8817827223826381,0.37098199923833214,0.6941966749976889,[0.88178272 0.94992001]
24,0.8964397952261262,0.3384016979734103,0.8218231966261469,[0.8964398  0.98562551],0.8458432482750194,0.3480580270290375,0.7823481229243467,[0.84584325 0.98526187]
25,0.9171864898574306,0.3338377390305201,0.8517928511519952,[0.91718649 0.98792059],0.8663177131851251,0.34576298197110494,0.7974228606603277,[0.86631771 0.98428458]
26,0.9229217503992402,0.3324905093510946,0.860794271414861,[0.92292175 0.98867246],0.8802960845364233,0.34723575512568156,0.7926902675260538,[0.88029608 0.97972328]
27,0.9211516467099942,0.332841529349486,0.8583338465944172,[0.92115165 0.98851039],0.8847699292482296,0.34424718618392947,0.8090304286702383,[0.88476993 0.98291796]
28,0.9289610459620569,0.3310659247636795,0.8702813255366048,[0.92896105 0.98942275],0.8906697632119592,0.343294354279836,0.8137548400456088,[0.89066976 0.98284879]
29,0.9287313311016951,0.33107336749633154,0.8702536512918482,[0.92873133 0.9894541 ],0.8821224080818979,0.34489685893058775,0.8057025075845778,[0.88212241 0.98255923]
30,0.9038928502235631,0.33651340504487354,0.8347267779213634,[0.90389285 0.98686952],0.8975959285224782,0.3516582906246185,0.775309697178336,[0.89759593 0.97114218]
31,0.9101595193781449,0.3353743876020114,0.8414006129096511,[0.91015952 0.98716844],0.9030110550491515,0.3442243675390879,0.8121182831956272,[0.90301106 0.97942618]
32,0.926771820629279,0.33157407015562057,0.8669165659988121,[0.92677182 0.98917737],0.8976480718570241,0.34507818619410197,0.8061395416870824,[0.89764807 0.97931055]
33,0.9310003913078646,0.33065601855516435,0.8730644314177046,[0.93100039 0.98960491],0.8933993709074135,0.34262598554293316,0.8179593906750428,[0.89339937 0.98317683]
34,0.9347493286467685,0.3297203497091929,0.8795537615939905,[0.93474933 0.99016702],0.9009758663174465,0.3418738087018331,0.8229034002499467,[0.90097587 0.9826711 ]
35,0.9364370618694967,0.3292749763528506,0.8826325666229167,[0.93643706 0.99043471],0.9003212305629444,0.3414741516113281,0.8253403638221782,[0.90032123 0.98349704]
36,0.93303530899789,0.3301071471969287,0.8769671726252225,[0.93303531 0.9899655 ],0.88103018554049,0.34440227746963503,0.808073793640596,[0.88103019 0.98317531]
37,0.9067557380397336,0.3358688111106555,0.8387643743062925,[0.90675574 0.98715233],0.8487135857899132,0.3467326323191325,0.7892140342462389,[0.84871359 0.98622947]
38,0.9206706888448455,0.3330715290705363,0.8567837069932044,[0.92067069 0.9883138 ],0.8950700132211719,0.34333129127820333,0.814629396033406,[0.89507001 0.98196163]
39,0.9343846930523311,0.329709424773852,0.8794201516410318,[0.93438469 0.99020115],0.8944049056231677,0.34139138261477153,0.8249676435961596,[0.89440491 0.9846076 ]
40,0.9388699016938877,0.32867943743864697,0.886695567199385,[0.9388699 0.9907704],0.9000153850804365,0.34142831762631737,0.8245927424364151,[0.90001539 0.98336622]
41,0.9404401214675325,0.32831000397602716,0.8892015515718484,[0.94044012 0.99096342],0.8960948127786798,0.34119250774383547,0.8254506260368519,[0.89609481 0.98438343]
